,index,kouwei,huanjing,fuwu,comment,date
0,0,2.0,3,3.0,"
                        一直想吃这家店，昨天点了个双人套餐，两个女生完全够吃的。爱情札萨里夹的东西很像火腿，素丸子虽然是素的但口感比肉丸子好，吃的时候感觉特别的神奇…双人套餐的饺子里面是香菇馅的，也很好吃。不过这家冰草怎么是酸的，感觉像用什么处理过的……不太喜欢……
                ",04-18
1,1,,3,,,
2,2,,3,,,
3,3,,3,,,
4,4,,3,,,
5,5,4.0,4,4.0,"
                        很棒啊。作为一个肉食动物，也能静静的吃完一顿素餐，能证明素食也可以很美味的！而且还推荐朋友去吃。又离家很近，太喜欢了。特别是小店的环境，也很注意私人空间，朋友小聚，老人小孩也能吃的清淡。到现在手机屏保还用的是在店里面照的照片~
                ",04-18
6,6,,4,,,
7,7,,4,,,
8,8,,4,,,
9,9,,4,,,
10,10,,4,,,
11,11,2.0,3,3.0,"
                        素席味道本比较清淡，锅底没有任何味道，就看自己喜欢什么样的微碟，将就将就，并没有想象中的特别！
                ",04-17
12,12,4.0,4,4.0,"
                        吃多了麻辣火锅 偶尔来一次素食火锅也别有一番风味呢
                ",04-17
13,13,2.0,2,2.0,"
                        去的北城天街店，还是提前预约了的，怕没位置，实际平时可以不用预约，不像周末那么多人。这次吃的之前的惜福卡套餐，发现跟之前的内容不一样，个人不是太喜欢，主要茼蒿太多来，吃那么大一份很难受，感觉之前的套餐搭配较合理。
                ",04-16
14,14,,2,,,
15,15,,2,,,
16,16,,2,,,
17,17,,2,,,
18,18,,2,,,
19,19,3.0,2,2.0,"
                        素食火锅特别适合立flag要拥有健康生活方式的我。青稞做的爱情扎萨特别好吃，新鲜玛咖煮起来软软绵绵。五谷豆浆加藏茶现磨的豆茶口感绵密，藏茶很好地盖住了豆子的腥味，是个有意思的组合。环境整体一般，不过也与餐厅的大众定位契合。
                ",04-16
20,20,4.0,4,4.0,"
                        不错，来了很多次了，非常好，好好好好
                ",04-15
21,21,4.0,4,4.0,"
                        素食这里绝对的健康 这里的境界纪理念真的太好了 阿弥陀佛
                ",04-14
22,22,4.0,4,4.0,"
                        一叶一世界，约莫是成都最早的素食餐厅生意红火的。第一家开在环球中心，Rachel所喜爱至深，常常长途跋涉而去慰藉味蕾。最近两年，他家在成都四面开花，崛起之势的开了许多家店。春熙路，成都的中心区域，有这么一家一叶一世界，朋友聚会再也不用考虑选择离谁近的店就餐，择中吃喝玩乐一体化的春熙路，实在是棒！【环境】寸土寸金的春熙路，即使是以前不起眼的南糠市街，也因着背靠太古里而陡然升值，租金不菲。相较于另外一些店，这家店的堂食区域着实显得有些局促，依靠强大的空间利用布局，还是拥挤压抑。总体装修风格，一叶一世界所有品牌都是如出一辙，并无那家店标新立异。木质，禅意的调调，作为素食火锅，实在是搭！【菜品、味道】经验总结之下，现在R.每次都点最普通的8元锅底，真真是和15元的美什么特别大的区别。菜品推陈出新的许多，一些有机类的，新增的菌类，都是蛮好吃的选择。他家R.最上心的还是青稞扎萨和玫瑰花饼。前者外皮酥脆，感口的很~玫瑰花饼新鲜制作，蜜糖的味道，太过暖心暖胃，沁人心脾的喜爱至极。他家的素丸子也是必点项，菌菇做的，且不说像不像肉的口感真的很想，味道而言，也是极其好吃的。他家就是那种，闭着眼睛点，啥啥都好吃，吃了还没有负担，一身轻松！【服务】之前不知道啊……来了才知道他家可以电话排号，呜呜呜，等了1个多小时，醉了~服务员们态度都很好，棒~~tips：记得提前电话预约排号啊！~！2016.11.23 记。
                ",04-13
23,23,,4,,,
24,24,,4,,,
25,25,,4,,,
26,26,,4,,,
27,27,,4,,,
28,28,,4,,,
29,29,2.0,4,4.0,"
                        锅底真的不适合我这种重口味的人，胃口不对，但是很适合轻口味的，喜欢素食的人，非洲冰草不错，好吃，其他一般，偏贵
                ",04-13
30,30,,4,,,
31,31,,4,,,
32,32,,4,,,
33,33,,4,,,
34,34,,4,,,
35,35,4.0,4,4.0,"
                        素菜也能做的这么好吃！大赞之。
                ",04-13
36,36,3.0,3,3.0,"
                        素食主义者的最爱，比较新奇的火锅，好吃。推荐
                ",04-13
37,37,4.0,4,4.0,"
                        【位置】在南糠市街，一条小街上，挨着金融汇和太古里，还是很好找的。【味道】原以为素食火锅会像寺庙里的素餐，全是长得很像肉肉的菜，结果不是。【原味藏茶锅底】锅里有藏茶包、番茄等，非常清淡。【菜品】非常新鲜，而且很精致的感觉。【蘸碟】有已经调好的标准口味，还有很多佐料，可以根据自己喜好添加。吃起来一点怪味都没有，反而觉得很好吃，也很健康，吃素菜居然没吃多少就饱了呢。【服务】从预约的时候就感觉得到服务员很友善和热情。付款的时候，还让我们选择较节约的方式。【环境】刚进门的时候不知道的话还以为是卖衣服的呢，有很多佛教的东西，教人与人为善等等，里面是一个一个小包间，相互不影响，环境很棒。
                ",04-12
38,38,,4,,,
39,39,,4,,,
40,40,,4,,,
41,41,,4,,,
42,42,,4,,,
43,43,,4,,,
44,44,4.0,4,4.0,"
                        吃撑了，第一次尝试素食不错，饼好好吃！
                ",04-11
45,45,4.0,4,4.0,"
                        最近吃的太油腻太重口味，决定吃点素餐来清理清理肠道，这家店里面的菜品，汤锅，小吃都非常养身，全素，没有一点肉，不适合无肉不欢者前来，我个人比较喜欢冰草，桃胶！冰草烫5秒就可以食用，爽脆的感觉，配上芝麻酱蘸碟，味道很不错！桃胶的口感Q弹爽滑，对女生来说很好的美容佳品，最近看了三生三世的小伙伴，可以去店里体验下。呵呵
                ",04-11
46,46,,4,,,
47,47,3.0,3,4.0,"
                        超级喜欢那个桃花泪的甜品，据说是用桃脂熬了几个小时，素食火锅健康养生，吃了以后没负担，点的菌汤锅里面的菌子用料不错，感觉都是野生的，单点的菌类也很好吃，很鲜，还有很多之前没见过的野菜，藏茶味道很独特，有一种朴实的感觉，总体体验都很不错的
                ",04-10
48,48,,3,,,
49,49,,3,,,
50,50,,3,,,
51,51,,3,,,
52,52,,3,,,
53,53,2.0,2,4.0,"
                        毕竟是全素食，品种好像少了点。
                ",04-10
54,54,4.0,4,4.0,"
                        锅底味道很香。然后因为是素食嘛，吃起来都比较爽口所以不知不觉点了好多( • ̀ω•́ )✧
                ",04-08
55,55,4.0,4,4.0,"
                        第一次吃藏式素食火锅，虽然我是肉食动物，总觉得吃不饱，但是平心而论，味道还真的是蛮不错的。首先，锅底就很清汤，非常清汤。开始觉得会没有味道，但是火锅有调料嘛，就真的觉得还不错。#爱情扎萨# 真心推荐！真心推荐！ 特别好吃~有点像把面包换成饼的汉堡包~一般的话可以点套餐，基本想吃的都有。如果喜欢肉食的，可以点一些素肉~饺子也非常不错，一定要点。
                ",04-08
56,56,,4,,,
57,57,,4,,,
58,58,,4,,,
59,59,,4,,,
60,60,,4,,,
61,61,3.0,2,3.0,"
                        来成都旅游，朋友热情推荐，这简直是成都火锅里的一股清流，素素的很舒服。最喜欢花生牙，甜甜的，好吃，北方没吃过.
                ",04-07
62,62,2.0,3,3.0,"
                        一直想吃这家店，昨天点了个双人套餐，两个女生完全够吃的。爱情札萨里夹的东西很像火腿，素丸子虽然是素的但口感比肉丸子好，吃的时候感觉特别的神奇…双人套餐的饺子里面是香菇馅的，也很好吃。不过这家冰草怎么是酸的，感觉像用什么处理过的……不太喜欢……
                ",04-18
63,63,,3,,,
64,64,,3,,,
65,65,,3,,,
66,66,,3,,,
67,67,4.0,4,4.0,"
                        很棒啊。作为一个肉食动物，也能静静的吃完一顿素餐，能证明素食也可以很美味的！而且还推荐朋友去吃。又离家很近，太喜欢了。特别是小店的环境，也很注意私人空间，朋友小聚，老人小孩也能吃的清淡。到现在手机屏保还用的是在店里面照的照片~
                ",04-18
68,68,,4,,,
69,69,,4,,,
70,70,,4,,,
71,71,,4,,,
72,72,,4,,,
73,73,2.0,3,3.0,"
                        素席味道本比较清淡，锅底没有任何味道，就看自己喜欢什么样的微碟，将就将就，并没有想象中的特别！
                ",04-17
74,74,4.0,4,4.0,"
                        吃多了麻辣火锅 偶尔来一次素食火锅也别有一番风味呢
                ",04-17
75,75,2.0,2,2.0,"
                        去的北城天街店，还是提前预约了的，怕没位置，实际平时可以不用预约，不像周末那么多人。这次吃的之前的惜福卡套餐，发现跟之前的内容不一样，个人不是太喜欢，主要茼蒿太多来，吃那么大一份很难受，感觉之前的套餐搭配较合理。
                ",04-16
76,76,,2,,,
77,77,,2,,,
78,78,,2,,,
79,79,,2,,,
80,80,,2,,,
81,81,3.0,2,2.0,"
                        素食火锅特别适合立flag要拥有健康生活方式的我。青稞做的爱情扎萨特别好吃，新鲜玛咖煮起来软软绵绵。五谷豆浆加藏茶现磨的豆茶口感绵密，藏茶很好地盖住了豆子的腥味，是个有意思的组合。环境整体一般，不过也与餐厅的大众定位契合。
                ",04-16
82,82,4.0,4,4.0,"
                        不错，来了很多次了，非常好，好好好好
                ",04-15
83,83,4.0,4,4.0,"
                        素食这里绝对的健康 这里的境界纪理念真的太好了 阿弥陀佛
                ",04-14
84,84,4.0,4,4.0,"
                        一叶一世界，约莫是成都最早的素食餐厅生意红火的。第一家开在环球中心，Rachel所喜爱至深，常常长途跋涉而去慰藉味蕾。最近两年，他家在成都四面开花，崛起之势的开了许多家店。春熙路，成都的中心区域，有这么一家一叶一世界，朋友聚会再也不用考虑选择离谁近的店就餐，择中吃喝玩乐一体化的春熙路，实在是棒！【环境】寸土寸金的春熙路，即使是以前不起眼的南糠市街，也因着背靠太古里而陡然升值，租金不菲。相较于另外一些店，这家店的堂食区域着实显得有些局促，依靠强大的空间利用布局，还是拥挤压抑。总体装修风格，一叶一世界所有品牌都是如出一辙，并无那家店标新立异。木质，禅意的调调，作为素食火锅，实在是搭！【菜品、味道】经验总结之下，现在R.每次都点最普通的8元锅底，真真是和15元的美什么特别大的区别。菜品推陈出新的许多，一些有机类的，新增的菌类，都是蛮好吃的选择。他家R.最上心的还是青稞扎萨和玫瑰花饼。前者外皮酥脆，感口的很~玫瑰花饼新鲜制作，蜜糖的味道，太过暖心暖胃，沁人心脾的喜爱至极。他家的素丸子也是必点项，菌菇做的，且不说像不像肉的口感真的很想，味道而言，也是极其好吃的。他家就是那种，闭着眼睛点，啥啥都好吃，吃了还没有负担，一身轻松！【服务】之前不知道啊……来了才知道他家可以电话排号，呜呜呜，等了1个多小时，醉了~服务员们态度都很好，棒~~tips：记得提前电话预约排号啊！~！2016.11.23 记。
                ",04-13
85,85,,4,,,
86,86,,4,,,
87,87,,4,,,
88,88,,4,,,
89,89,,4,,,
90,90,,4,,,
91,91,2.0,4,4.0,"
                        锅底真的不适合我这种重口味的人，胃口不对，但是很适合轻口味的，喜欢素食的人，非洲冰草不错，好吃，其他一般，偏贵
                ",04-13
92,92,,4,,,
93,93,,4,,,
94,94,,4,,,
95,95,,4,,,
96,96,,4,,,
97,97,4.0,4,4.0,"
                        素菜也能做的这么好吃！大赞之。
                ",04-13
98,98,3.0,3,3.0,"
                        素食主义者的最爱，比较新奇的火锅，好吃。推荐
                ",04-13
99,99,4.0,4,4.0,"
                        【位置】在南糠市街，一条小街上，挨着金融汇和太古里，还是很好找的。【味道】原以为素食火锅会像寺庙里的素餐，全是长得很像肉肉的菜，结果不是。【原味藏茶锅底】锅里有藏茶包、番茄等，非常清淡。【菜品】非常新鲜，而且很精致的感觉。【蘸碟】有已经调好的标准口味，还有很多佐料，可以根据自己喜好添加。吃起来一点怪味都没有，反而觉得很好吃，也很健康，吃素菜居然没吃多少就饱了呢。【服务】从预约的时候就感觉得到服务员很友善和热情。付款的时候，还让我们选择较节约的方式。【环境】刚进门的时候不知道的话还以为是卖衣服的呢，有很多佛教的东西，教人与人为善等等，里面是一个一个小包间，相互不影响，环境很棒。
                ",04-12
100,100,,4,,,
101,101,,4,,,
102,102,,4,,,
103,103,,4,,,
104,104,,4,,,
105,105,,4,,,
106,106,4.0,4,4.0,"
                        吃撑了，第一次尝试素食不错，饼好好吃！
                ",04-11
107,107,4.0,4,4.0,"
                        最近吃的太油腻太重口味，决定吃点素餐来清理清理肠道，这家店里面的菜品，汤锅，小吃都非常养身，全素，没有一点肉，不适合无肉不欢者前来，我个人比较喜欢冰草，桃胶！冰草烫5秒就可以食用，爽脆的感觉，配上芝麻酱蘸碟，味道很不错！桃胶的口感Q弹爽滑，对女生来说很好的美容佳品，最近看了三生三世的小伙伴，可以去店里体验下。呵呵
                ",04-11
108,108,,4,,,
109,109,3.0,3,4.0,"
                        超级喜欢那个桃花泪的甜品，据说是用桃脂熬了几个小时，素食火锅健康养生，吃了以后没负担，点的菌汤锅里面的菌子用料不错，感觉都是野生的，单点的菌类也很好吃，很鲜，还有很多之前没见过的野菜，藏茶味道很独特，有一种朴实的感觉，总体体验都很不错的
                ",04-10
110,110,,3,,,
111,111,,3,,,
112,112,,3,,,
113,113,,3,,,
114,114,,3,,,
115,115,2.0,2,4.0,"
                        毕竟是全素食，品种好像少了点。
                ",04-10
116,116,4.0,4,4.0,"
                        锅底味道很香。然后因为是素食嘛，吃起来都比较爽口所以不知不觉点了好多( • ̀ω•́ )✧
                ",04-08
117,117,4.0,4,4.0,"
                        第一次吃藏式素食火锅，虽然我是肉食动物，总觉得吃不饱，但是平心而论，味道还真的是蛮不错的。首先，锅底就很清汤，非常清汤。开始觉得会没有味道，但是火锅有调料嘛，就真的觉得还不错。#爱情扎萨# 真心推荐！真心推荐！ 特别好吃~有点像把面包换成饼的汉堡包~一般的话可以点套餐，基本想吃的都有。如果喜欢肉食的，可以点一些素肉~饺子也非常不错，一定要点。
                ",04-08
118,118,,4,,,
119,119,,4,,,
120,120,,4,,,
121,121,,4,,,
122,122,,4,,,
123,123,3.0,2,3.0,"
                        来成都旅游，朋友热情推荐，这简直是成都火锅里的一股清流，素素的很舒服。最喜欢花生牙，甜甜的，好吃，北方没吃过.
                ",04-07
124,124,3.0,3,4.0,"
                        环境不错，素餐，味道一般，没有很惊艳的感觉。
                ",04-07
125,125,3.0,3,3.0,"
                        肉吃多了的时候可以过来洗洗胃……
                ",04-07
126,126,1.0,1,1.0,"
                        非常一般非常一般非常一般、价格贵、感觉不值就是素菜，在家里自己也可以弄
                ",04-07
127,127,4.0,4,4.0,"
                        第一次来吃藏茶火锅，味道真心不错，其中冰草口感真的不错，强烈来一份。锅底要原味就可以～。丸子口感也很棒，
                ",04-06
128,128,4.0,4,4.0,"
                        一直很喜欢。口味清淡。适合素食的伙伴前往。
                ",04-06
